name,outer,inner,N,nnz,coo_sd,coo_mflops,coo_sum,coo_l1,coo_l2,coo_l3,coo_bp,csr_sd,csr_mflops,csr_sum,csr_l1,csr_l2,csr_l3,csr_bp,dia_sd,dia_mflops,dia_sum,dia_l1,dia_l2,dia_l3,dia_bp,ell_sd,ell_mflops,ell_sum,ell_l1,ell_l2,ell_l3,ell_bp
thermomech_dM,30,1,204316,1423116,181.647613,992.145,15841,24522498,12681866,3484003,0,248.578572,1357.85,15841,21868799,10514754,1747377,3,-1,-1,-1,-1,-1,-1,-1,208.741178,1141.23,15841,26918455,10734520,1187097,0
FEM_3D_thermal2,30,1,147900,3489300,197.253353,1080.12,28213,22215430,6859880,1143807,0,428.182657,2344.57,28213,14975476,5906104,886551,0,-1,-1,-1,-1,-1,-1,-1,317.625561,1739.62,28213,31518165,13526382,833388,0
t2dal_a,30,5000,4257,37465,277.819407,1518.97,7201,1134976003,67692546,5807,0,461.322803,2526.69,7201,823272134,50810366,5809,0,-1,-1,-1,-1,-1,-1,-1,441.687896,2418.69,7201,1443862308,28128232,14864,0
gas_sensor,30,1,66917,1703365,192.704425,1054.07,20163,10984820,3444993,542993,0,422.825733,2294.09,20163,7470454,2704279,402486,0,-1,-1,-1,-1,-1,-1,-1,301.922903,1653.4,20163,15912589,6171096,417178,0
LFAT5,30,1000000,14,46,309.202541,1646.6,19064,1301,742,972,2,352.659626,1927.8,19064,1502,1384,2083,0,90.563159,494.328,19064,7607,7732,12892,0,282.988000,1544.39,19064,3457,3355,4317,0
t3dl_a,30,500,20360,509866,221.200850,1211.05,37733,1678349426,91152633,657114,0,498.041230,2727.85,37733,1116106493,68855344,14011,0,-1,-1,-1,-1,-1,-1,-1,400.614709,2194.24,37733,2076254906,338053865,2077,0
boneS10,30,1,914898,40878708,178.672836,978.606,24534,262772744,76525084,12406397,0,413.140429,2262.74,24534,173551075,65462258,9934458,2,-1,-1,-1,-1,-1,-1,-1,202.426107,1108.63,24534,498497965,203757274,27149106,0
LF10,30,1000000,18,82,330.331926,1807.77,50709,899,159,62,1,380.350083,2050.62,50709,1360,190,20,0,211.788829,1155.01,50709,441,145,16,0,389.776358,2094.73,50709,550,178,19,0
gyro,30,1,17361,1021159,175.235823,957.666,39367,6936383,776903,123693,0,454.013696,2485.68,39367,4535996,468537,26449,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
gyro_k,30,1,17361,1021159,175.621112,961.875,39367,6942264,749415,117468,0,457.019921,2501.41,39367,4563941,418719,18022,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
filter3D,30,1,106437,2707179,189.346373,1036.55,11640,22921018,5212810,886091,0,381.911956,2088.58,11640,15568854,4246898,682249,3,-1,-1,-1,-1,-1,-1,-1,85.981431,470.848,41150,80517499,32969859,2483169,0
t3dl,30,500,20360,509866,221.239446,1211.77,37733,1675027521,93460697,965523,0,496.983636,2722.05,37733,1113686146,74118924,2299,0,-1,-1,-1,-1,-1,-1,-1,399.810429,2189.83,37733,2077371810,333513620,2837,0
t3dh_a,30,1,79171,4352105,174.278669,954.51,58658,27883300,7507038,1379011,0,415.844050,2277.54,58658,18226835,6897718,1127519,1,-1,-1,-1,-1,-1,-1,-1,247.825984,1357.34,58658,52313666,19841022,1222520,0
t2dal_bci,30,5000,4257,37465,282.108314,1545.15,7201,1134978912,67874011,122,0,460.633061,2514.2,7201,823277306,44579644,27,0,-1,-1,-1,-1,-1,-1,-1,440.910940,2411.85,7201,1443577257,29250037,22,0
rail_1357,30,10000,1357,8985,291.311316,1593.81,40211,541912733,4364,122,0,342.026255,1873.1,40211,387639192,1729,16,4,-1,-1,-1,-1,-1,-1,-1,272.191634,1474.39,40211,584049197,53949,25,0
t2dah,30,500,11445,176117,234.390690,1283.75,48498,575215918,31491652,106,0,500.463837,2738.94,48498,384847891,26863182,75,0,-1,-1,-1,-1,-1,-1,-1,326.857875,1790.23,48498,919259618,62470931,209,0
LF10000,30,1000,19998,99982,327.352029,1792.92,37570,678293331,50620516,53,0,392.543817,2144.51,37570,499544855,30721869,43,0,765.321715,4191.65,37570,788700247,197995578,117,0,449.422003,2461.22,37570,771005971,104325323,174,0
piston,30,500,2025,100015,178.043987,975.152,38342,323891459,16251499,95,0,461.086555,2525.36,38342,203784415,11358575,34,1,648.990213,3554.5,38342,170487335,29578366,33,0,350.080657,1917.34,38342,266526189,15564899,26,0
t3dh,30,1,79171,4352105,174.337756,954.877,58658,27887241,7485823,1373781,0,418.844770,2293.66,58658,18228575,6786913,1072133,1,-1,-1,-1,-1,-1,-1,-1,247.200951,1353.36,58658,52318111,19847523,1220676,0
t2dah_a,30,500,11445,176117,234.703634,1285.43,48498,574045165,31773319,367,0,504.192029,2761.46,48498,385236390,26576518,96,0,-1,-1,-1,-1,-1,-1,-1,330.476801,1810.04,48498,919675594,39336374,353,0
gyro_m,30,500,17361,340431,220.712821,1208.88,13326,1192659312,68619745,2730,0,417.539225,2286.89,13326,786928457,50205473,2231,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
chipcool0,30,500,20082,281150,239.183526,1310.04,26977,942267500,56348670,864,0,361.640584,1980.75,26977,626111458,31999974,1155,7,-1,-1,-1,-1,-1,-1,-1,242.899693,1330.39,26977,1696017924,340389143,1152,0
inlet,30,500,11730,328323,213.995088,1172.08,49884,1059183887,54863643,792,0,501.108625,2744.61,49884,690532373,45517903,403,0,555.131036,3040.51,49884,1773445891,291750557,640,0,303.511837,1662.38,49884,1808729063,101951241,831,0
chipcool1,30,500,20082,281150,239.194025,1310.1,44352,941794237,56100862,1237,0,361.528947,1980.09,44352,625624661,31683108,1071,7,-1,-1,-1,-1,-1,-1,-1,247.715635,1356.77,44352,1698949706,259155958,2180,0
rail_20209,30,500,20209,139233,280.996789,1538.99,51056,530531794,55929179,294,0,354.272295,1938.19,51056,390341215,42183263,135,3,-1,-1,-1,-1,-1,-1,-1,265.524954,1453.52,51056,884856025,126700279,332,0
flowmeter5,30,1000,9669,67391,293.794708,1605.42,18765,458681182,34147666,48,0,396.490115,2169.43,18765,317997048,23798003,21,1,-1,-1,-1,-1,-1,-1,-1,287.255277,1573.3,18765,723484118,27217777,42,0
rail_79841,30,500,79841,553921,256.135925,1402.9,55120,2043399857,227187338,1370065,0,358.458059,1963.3,55120,1485637846,195909873,460571,2,-1,-1,-1,-1,-1,-1,-1,251.656684,1378.37,55120,3364045234,982881721,1283756,0
boneS01,30,1,127224,5516602,179.783697,984.571,33779,35302575,9617454,1703772,0,421.597128,2308.85,33779,23278664,8766976,1395714,2,-1,-1,-1,-1,-1,-1,-1,240.521222,1316.85,33779,72589699,26007114,1705004,0
t3dl_e,30,5000,20360,20360,386.815039,2118.6,64507,955841172,183420965,41,0,217.834043,1193.11,64507,955542221,62676226,98,0,1255.980516,6878.8,64507,573848729,46213040,20,0,450.683272,2468.42,64507,765050570,64883185,16,0
rail_5177,30,5000,5177,35185,283.641183,1553.55,18867,1266693513,61971394,142,0,332.513951,1817.24,18867,954409226,36791470,48,4,-1,-1,-1,-1,-1,-1,-1,280.119335,1534.26,18867,2035670490,57275780,40,0
t2dah_e,30,500,11445,176117,235.052594,1287.42,29785,575543835,31624894,100,0,502.096284,2748.51,29785,385710881,23736198,63,0,-1,-1,-1,-1,-1,-1,-1,330.298775,1809.09,29785,919899650,37233068,169,0
t2dal_e,30,100000,4257,4257,401.249824,2196.58,53642,4018743761,4387,143,0,222.180555,1216.53,53642,4011015272,5860,76,0,1199.284258,6508.9,53642,2413548610,882,29,0,455.364338,2490.79,53642,3222142204,3131,142,0
t3dh_e,30,1,79171,4352105,174.570155,956.149,32625,27895796,7434150,1364268,0,417.892059,2288.25,32625,18227936,6727170,1092414,1,-1,-1,-1,-1,-1,-1,-1,248.842341,1362.74,32625,52307803,19573939,1211209,0
t2dal,30,5000,4257,37465,280.306290,1534.41,7201,1134989730,70975715,172,0,464.733479,2544.37,7201,823273223,36704062,170,0,-1,-1,-1,-1,-1,-1,-1,441.112931,2412.79,7201,1443734184,31412689,46,0
LFAT5000,30,1000,19994,79966,324.446973,1770.11,171,557887357,46414642,49,0,381.711465,2074.18,171,422240087,26889201,48,0,405.266307,2200.57,171,1095365858,230951602,88,0,352.122762,1918.61,171,762287810,101573453,36,0
filter2D,30,10000,1668,10750,291.056460,1591.93,33298,689164350,8265782,28,0,337.926196,1829.84,33298,499376421,7063,16,4,-1,-1,-1,-1,-1,-1,-1,326.019184,1781.5,33298,590476964,18440,18,0
flowmeter0,30,1000,9669,67391,294.190181,1606.88,27279,458819869,28837906,31,0,398.112520,2136.33,27279,318429103,22575184,21,1,-1,-1,-1,-1,-1,-1,-1,285.498905,1562.17,27279,722823474,27679548,64,0
spiral,30,10000,1434,18228,204.358210,1118.92,63797,1099529377,66369138,50,0,448.925687,2444.7,63797,779991261,31645,19,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
majorbasis,30,1,160000,1750416,227.821613,1245.45,26141,12305476,3983668,556875,0,358.638658,1963.85,26141,8919591,2705266,350656,0,590.559554,3229.85,26141,14491985,9728240,332951,0,397.159876,2174.43,26141,13830144,5416951,285843,0
largebasis,30,1,440020,5240084,231.038037,1265.43,32088,35036072,12622638,1990549,0,418.502560,2291.92,32088,24823956,10572781,1819044,0,-1,-1,-1,-1,-1,-1,-1,344.276452,1884.45,32088,45000119,18935868,1287166,0
crashbasis,30,1,160000,1750416,228.381062,1250.77,49004,12307211,3968403,551211,0,357.583814,1957.67,49004,8930296,2743680,346906,0,587.051907,3163.02,49004,14490625,9480754,406265,0,398.003112,2178.99,49004,13835827,5469305,312725,0
Baumann,30,500,112211,748331,240.478295,1317.15,63537,2781513801,208057989,14866185,0,347.908769,1905.46,63537,2023650894,116707556,4696891,1,818.549641,4483.32,63537,2213442862,1334822623,3339,0,414.847152,2272.2,63537,2997619735,639479067,15007,0
chem_master1,30,500,40401,201201,321.558358,1761.21,1968,694185371,45528380,357,0,394.473838,2160.55,1968,504211125,27391696,532,0,886.033626,4852.75,1968,568299497,361323557,638,0,441.314286,2417.09,1968,770528946,170051649,390,0
shyy41,30,5000,4720,20042,322.132223,1763.14,32988,653674030,18762102,35,0,370.865362,2006.52,32988,509717972,643188,98,0,770.412278,4219.46,32988,901881600,2235829,33,0,323.483004,1771.76,32988,980576564,12691562,49,0
